Tab.2.5.48,,,,,,,,
,,,,,,,,
Ausländische Hochschulabsolventinnen und -absolventen in Deutschland nach Fächergruppen und ausgewählten Herkunftsstaaten 1),,,,,,,,
,,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin",Ingenieurwissenschaften,"Kunst, Kunstwissenschaften"
,1998,16,20,9,5,5,12,9
,1999,11,20,9,3,1,12,11
,2000,12,25,7,5,3,13,6
,2001,9,16,7,4,-,16,7
,2002,14,30,9,5,1,7,5
,2003,16,30,7,4,3,16,8
,2004,14,34,11,9,-,17,8
,2005,9,56,13,8,4,14,9
,2006,21,24,21,4,1,13,5
,2007,23,34,15,9,1,15,17
,2008,22,45,15,7,5,22,14
,2009,20,33,20,11,5,17,11
,2010,31,43,23,10,3,21,13
,2011,30,41,36,6,6,30,13
,2012,46,45,35,9,4,24,16
,2013,46,43,37,5,4,29,20
,2014,34,61,25,18,5,39,17
,2015,39,55,29,9,3,32,21
,2016,35,67,28,9,8,53,16
,2017,38,66,27,13,5,34,7
,2018,34,66,21,18,9,54,26
,2019,34,104,30,10,7,58,20
    Bulgarien,1997,13,21,11,2,-,15,19
,1998,15,42,7,10,2,22,17
,1999,16,37,11,6,1,11,29
,2000,22,54,11,17,2,20,20
,2001,25,63,28,12,2,26,33
,2002,35,90,35,9,5,28,28
,2003,28,128,49,8,2,35,35
,2004,56,234,49,20,2,62,40
,2005,99,310,111,30,9,97,49
,2006,121,405,176,42,18,115,57
,2007,151,541,271,54,15,181,51
,2008,230,626,307,69,23,227,87
,2009,236,692,300,94,18,195,70
,2010,224,663,261,95,9,222,56
,2011,242,608,262,88,17,207,62
,2012,210,591,256,96,12,177,71
,2013,154,494,203,76,7,208,40
,2014,160,442,188,70,16,173,51
,2015,136,450,188,67,9,173,44
,2016,72,466,84,51,14,272,35
,2017,83,464,59,65,12,265,38
,2018,78,433,54,77,14,250,46
,2019,83,440,74,81,13,280,37
    Dänemark,1997,12,19,7,4,-,3,8
,1998,7,17,4,1,-,4,7
,1999,8,11,3,4,-,5,7
,2000,15,14,6,1,-,3,9
,2001,6,20,4,2,-,2,8
,2002,9,16,5,1,-,1,8
,2003,6,12,7,1,3,6,10
,2004,17,10,7,3,3,3,13
,2005,5,21,14,2,1,4,8
,2006,11,23,9,3,2,3,15
,2007,10,15,10,2,2,3,8
,2008,18,22,9,2,2,5,3
,2009,11,8,6,2,3,4,10
,2010,10,15,7,2,1,4,7
,2011,20,15,4,8,1,1,9
,2012,20,22,7,-,-,8,12
,2013,13,24,6,5,2,5,5
,2014,19,17,10,5,-,4,11
,2015,15,32,11,6,1,5,15
,2016,11,32,11,5,3,8,8
,2017,13,39,9,2,-,14,18
,2018,21,43,10,7,2,10,22
,2019,19,33,8,2,1,15,18
    Estland,1997,2,2,-,1,-,-,6
,1998,5,6,-,2,-,-,3
,1999,6,9,1,1,1,1,1
,2000,3,9,1,5,-,-,7
,2001,5,9,3,2,-,1,7
,2002,12,14,2,3,-,1,4
,2003,5,14,2,1,2,1,5
,2004,8,16,3,1,1,3,6
,2005,17,17,6,-,-,5,7
,2006,19,24,8,1,2,7,10
,2007,27,41,5,1,1,5,9
,2008,39,40,13,6,2,5,3
,2009,17,38,11,5,3,12,8
,2010,22,44,7,1,-,8,4
,2011,24,40,12,4,3,7,9
,2012,18,35,13,4,-,21,8
,2013,20,31,15,5,2,4,8
,2014,19,37,16,2,1,15,6
,2015,14,33,21,5,-,8,7
,2016,11,28,11,6,1,19,13
,2017,11,21,5,5,4,15,11
,2018,7,27,10,6,1,15,15
,2019,6,18,16,3,4,14,10
    Finnland,1997,15,31,4,6,5,10,8
,1998,16,21,2,10,3,8,3
,1999,16,18,7,7,5,7,8
,2000,14,18,3,9,2,5,17
,2001,20,16,6,12,1,7,9
,2002,13,29,1,9,3,3,16
,2003,18,23,7,10,1,3,17
,2004,19,33,6,4,6,7,15
,2005,13,27,4,12,2,11,15
,2006,22,31,8,5,3,3,9
,2007,17,28,11,6,2,7,9
,2008,19,21,9,10,2,6,13
,2009,18,25,14,9,4,4,11
,2010,17,32,16,10,1,7,10
,2011,19,30,10,10,1,15,7
,2012,22,37,15,6,5,11,11
,2013,15,39,12,8,1,23,11
,2014,26,40,19,12,4,16,13
,2015,22,33,9,10,1,15,22
,2016,6,51,10,7,4,18,20
,2017,13,62,15,4,2,23,19
,2018,7,46,16,3,2,29,15
,2019,21,55,2,2,7,30,26
    Frankreich,1997,97,257,36,9,7,178,22
,1998,90,263,56,7,1,171,36
,1999,97,256,39,8,3,142,34
,2000,112,248,54,11,6,199,27
,2001,114,268,66,9,4,203,30
,2002,104,286,72,10,10,219,26
,2003,93,302,89,16,7,188,40
,2004,124,350,100,7,11,191,39
,2005,151,374,99,21,16,183,44
,2006,127,458,91,18,14,243,52
,2007,151,501,125,26,15,253,50
,2008,159,442,110,21,17,247,47
,2009,153,406,116,25,17,245,55
,2010,156,423,113,18,14,254,75
,2011,139,454,88,12,31,318,95
,2012,181,437,105,18,20,242,89
,2013,174,454,110,23,10,294,104
,2014,186,561,135,20,21,270,101
,2015,189,553,136,18,20,271,102
,2016,182,645,132,25,19,378,115
,2017,203,651,122,34,24,315,145
,2018,234,672,124,38,24,355,126
,2019,232,704,125,31,34,346,125
    Griechenland,1997,171,148,87,98,2,104,30
,1998,150,169,100,94,7,90,32
,1999,150,139,82,111,8,96,33
,2000,153,181,98,111,7,95,39
,2001,152,188,79,135,6,90,52
,2002,160,215,92,116,6,99,44
,2003,127,251,67,120,5,98,35
,2004,144,220,92,120,6,98,48
,2005,151,272,112,119,9,121,41
,2006,137,228,100,117,12,103,49
,2007,140,276,99,118,7,113,49
,2008,163,234,101,129,13,125,40
,2009,123,249,108,93,7,133,42
,2010,137,246,113,93,7,132,42
,2011,137,239,104,103,15,132,45
,2012,133,277,124,89,10,162,54
,2013,126,265,137,68,5,179,61
,2014,183,215,136,97,12,198,58
,2015,154,278,170,80,19,201,72
,2016,168,337,123,97,15,289,47
,2017,128,331,136,90,10,272,49
,2018,153,357,140,95,16,256,49
,2019,153,377,156,101,12,275,71
    Irland,1997,8,7,-,2,1,2,2
,1998,6,5,1,1,-,3,1
,1999,8,13,3,4,-,4,1
,2000,9,9,3,5,-,1,2
,2001,6,17,5,2,-,3,1
,2002,5,17,4,4,-,1,-
,2003,3,18,3,-,-,2,-
,2004,4,15,6,1,1,3,2
,2005,7,16,3,3,1,3,3
,2006,5,14,10,1,1,4,2
,2007,14,14,2,3,2,3,2
,2008,3,18,6,4,1,-,3
,2009,14,16,8,1,1,5,4
,2010,9,18,11,4,1,5,4
,2011,4,19,2,6,1,6,2
,2012,15,13,6,3,1,3,2
,2013,9,15,7,1,-,12,6
,2014,9,22,7,3,2,4,5
,2015,14,25,13,2,2,7,5
,2016,8,21,12,3,1,3,2
,2017,9,24,10,4,-,14,6
,2018,8,28,9,6,2,21,9
,2019,12,27,13,2,1,10,9
    Italien,1997,95,95,70,16,4,56,37
,1998,106,113,61,19,5,91,42
,1999,96,124,73,18,10,79,39
,2000,144,125,68,17,19,78,36
,2001,128,146,89,23,17,82,38
,2002,140,162,114,24,4,96,39
,2003,138,154,97,17,18,109,60
,2004,130,183,111,16,19,110,53
,2005,139,218,141,30,15,92,47
,2006,180,191,163,21,18,127,65
,2007,153,215,155,32,12,123,53
,2008,228,242,169,30,19,124,77
,2009,213,289,170,31,18,133,62
,2010,240,292,189,48,10,155,76
,2011,307,299,175,37,19,150,80
,2012,306,353,229,53,22,203,95
,2013,335,368,231,55,33,231,108
,2014,383,399,281,60,33,252,120
,2015,441,487,310,67,41,260,127
,2016,353,590,268,67,42,377,142
,2017,406,703,349,103,60,430,149
,2018,421,782,328,90,62,447,144
,2019,477,859,365,130,41,499,167
    Kroatien,1997,20,46,12,5,-,31,8
,1998,26,66,20,9,1,47,16
,1999,44,77,36,13,2,66,8
,2000,41,111,35,12,3,81,13
,2001,52,149,34,16,3,94,13
,2002,54,149,49,17,6,104,25
,2003,61,188,50,13,6,88,21
,2004,58,205,81,26,5,95,26
,2005,82,199,57,26,8,98,27
,2006,85,195,93,23,3,111,26
,2007,71,215,88,22,1,114,25
,2008,98,222,86,33,11,100,28
,2009,103,241,70,31,5,115,35
,2010,121,242,70,25,6,102,28
,2011,106,223,81,22,6,123,35
,2012,133,245,99,18,5,146,28
,2013,116,266,87,28,6,133,27
,2014,126,242,96,24,7,151,21
,2015,120,244,99,22,5,132,22
,2016,84,294,60,21,12,165,26
,2017,90,311,69,30,7,171,36
,2018,78,239,73,28,12,145,19
,2019,76,276,65,35,3,142,21
    Lettland,1997,3,-,1,-,-,2,2
,1998,3,2,2,-,-,-,2
,1999,3,5,-,2,-,2,4
,2000,7,7,2,5,1,1,7
,2001,28,9,3,5,-,2,6
,2002,21,9,6,4,-,2,5
,2003,21,17,5,1,-,1,9
,2004,8,18,9,3,-,2,10
,2005,19,30,10,2,-,5,9
,2006,16,36,11,-,-,3,11
,2007,18,41,13,1,1,10,13
,2008,19,41,16,3,2,8,7
,2009,25,62,9,5,2,6,17
,2010,16,59,13,2,1,10,13
,2011,19,43,11,-,1,16,18
,2012,20,44,14,4,2,12,14
,2013,21,52,12,4,2,20,11
,2014,26,46,13,3,1,28,10
,2015,28,57,21,4,3,28,11
,2016,14,57,18,2,1,38,21
,2017,12,41,16,2,-,32,21
,2018,11,53,10,5,1,38,15
,2019,19,43,18,5,2,37,15
    Litauen,1997,5,2,-,2,-,-,5
,1998,1,4,-,3,4,-,7
,1999,6,6,-,3,2,2,1
,2000,7,6,3,5,1,2,8
,2001,10,14,3,6,1,2,10
,2002,15,28,6,2,3,3,2
,2003,16,28,5,2,6,3,15
,2004,31,35,15,4,3,7,11
,2005,32,57,9,5,3,7,17
,2006,40,60,15,5,2,11,14
,2007,45,63,16,6,1,11,16
,2008,54,88,19,9,4,9,10
,2009,50,78,31,10,3,14,19
,2010,42,99,29,12,2,13,7
,2011,44,75,26,9,2,14,11
,2012,39,60,23,9,1,17,20
,2013,34,63,18,10,2,23,13
,2014,31,63,29,4,3,19,18
,2015,36,60,23,9,4,21,25
,2016,22,81,26,10,4,26,18
,2017,20,74,15,9,1,32,20
,2018,22,65,15,13,2,32,18
,2019,28,53,17,16,1,42,22
    Luxemburg,1997,25,17,11,8,2,42,5
,1998,37,11,10,5,10,50,2
,1999,37,24,12,4,3,38,5
,2000,26,19,28,4,7,38,5
,2001,27,20,22,13,5,28,4
,2002,46,19,24,7,9,41,6
,2003,59,24,29,14,10,38,11
,2004,64,18,20,12,9,36,5
,2005,75,28,47,15,3,43,7
,2006,93,30,42,18,5,38,16
,2007,82,25,42,28,15,41,15
,2008,98,32,44,23,11,48,19
,2009,104,48,50,22,16,58,25
,2010,130,55,61,43,14,66,17
,2011,123,61,86,34,21,82,31
,2012,150,66,77,43,24,126,34
,2013,151,92,83,34,21,141,37
,2014,164,105,93,57,26,135,42
,2015,163,101,114,49,25,164,41
,2016,137,161,88,55,25,179,41
,2017,132,186,96,53,31,207,52
,2018,130,185,86,78,29,170,60
,2019,123,257,114,77,18,208,61
    Malta,1997,m,m,m,m,m,m,m
,1998,-,1,1,-,1,1,-
,1999,1,-,-,-,-,-,-
,2000,-,1,-,-,-,-,-
,2001,-,-,-,-,-,-,1
,2002,-,-,-,1,-,-,-
,2003,1,2,2,-,-,1,1
,2004,2,2,1,1,-,-,-
,2005,-,4,2,-,-,-,-
,2006,-,-,1,-,1,3,-
,2007,2,-,2,-,-,3,-
,2008,-,1,2,-,-,-,-
,2009,z,z,z,z,z,z,z
,2010,z,z,z,z,z,z,z
,2011,z,z,z,z,z,z,z
,2012,3,2,1,-,1,-,-
,2013,z,z,z,z,z,z,z
,2014,1,3,1,-,-,-,-
,2015,1,2,-,-,-,2,-
,2016,3,2,2,2,-,2,-
,2017,2,1,1,1,-,4,-
,2018,z,z,z,z,z,z,z
,2019,-,5,-,-,-,3,-
    Niederlande,1997,29,61,57,7,7,54,12
,1998,31,60,28,14,7,51,18
,1999,25,44,29,12,6,69,22
,2000,32,70,33,12,7,64,20
,2001,28,53,44,13,13,65,18
,2002,32,54,37,12,11,62,13
,2003,25,49,30,7,6,53,13
,2004,31,61,27,13,6,37,14
,2005,29,75,22,13,7,62,19
,2006,21,53,39,12,11,38,13
,2007,31,72,39,14,9,29,25
,2008,27,60,38,15,7,38,14
,2009,40,94,49,21,12,24,26
,2010,36,65,44,13,12,49,24
,2011,44,70,35,19,5,37,31
,2012,41,78,39,17,8,44,31
,2013,71,89,61,17,8,42,20
,2014,61,87,58,22,14,59,32
,2015,77,101,78,18,18,44,26
,2016,47,142,62,30,14,83,38
,2017,74,182,79,37,11,73,29
,2018,74,148,70,30,15,103,58
,2019,87,152,82,28,15,91,39
    Österreich,1997,105,173,83,26,21,139,47
,1998,103,185,91,20,16,124,38
,1999,98,200,108,32,19,141,56
,2000,100,157,85,26,22,131,43
,2001,101,155,67,27,32,127,54
,2002,106,159,80,40,21,126,42
,2003,118,176,116,25,26,118,49
,2004,117,236,116,35,23,120,53
,2005,122,248,139,42,26,164,63
,2006,132,266,132,30,37,123,40
,2007,166,390,137,39,32,183,61
,2008,160,376,159,32,28,174,79
,2009,156,494,166,51,24,190,52
,2010,158,566,148,42,24,222,53
,2011,149,628,178,43,36,262,77
,2012,184,698,173,75,32,290,78
,2013,212,760,182,83,40,354,113
,2014,261,702,227,135,37,340,110
,2015,244,779,251,136,47,356,142
,2016,154,905,178,177,57,481,126
,2017,152,918,177,168,47,498,136
,2018,175,919,220,204,58,471,136
,2019,159,946,231,233,47,514,133
    Polen,1997,47,79,23,15,5,30,35
,1998,67,178,25,15,1,29,34
,1999,78,158,27,26,1,39,35
,2000,98,207,31,32,7,47,43
,2001,138,229,44,31,1,55,47
,2002,147,265,50,29,4,63,56
,2003,203,361,68,24,6,78,64
,2004,226,404,102,32,15,100,85
,2005,365,450,135,50,18,119,92
,2006,394,577,204,51,13,167,105
,2007,424,677,197,58,20,176,118
,2008,469,670,224,81,18,197,110
,2009,490,739,207,60,24,165,102
,2010,533,666,267,72,24,198,95
,2011,456,602,230,73,27,207,83
,2012,412,567,199,92,13,189,102
,2013,406,568,206,71,18,222,83
,2014,342,490,198,69,23,195,55
,2015,316,436,197,49,18,226,97
,2016,219,475,133,50,18,287,83
,2017,171,494,123,77,20,267,90
,2018,195,470,128,62,19,316,85
,2019,180,406,128,70,15,286,81
    Portugal,1997,13,27,14,2,-,28,5
,1998,13,24,17,2,-,28,8
,1999,25,32,8,8,3,27,2
,2000,18,29,10,5,1,18,3
,2001,20,21,27,4,-,28,9
,2002,26,41,14,5,1,22,11
,2003,34,35,13,6,-,33,7
,2004,28,46,18,11,-,28,12
,2005,25,50,22,10,2,25,12
,2006,35,49,24,8,3,23,13
,2007,29,53,28,10,1,34,15
,2008,27,50,23,13,6,27,12
,2009,26,53,37,11,6,19,18
,2010,51,54,34,13,3,25,11
,2011,36,72,43,9,2,44,15
,2012,41,69,45,16,3,50,12
,2013,49,71,35,15,7,51,29
,2014,51,82,56,11,2,47,20
,2015,54,76,45,18,4,62,23
,2016,38,127,45,14,3,67,30
,2017,51,109,45,12,4,81,20
,2018,41,108,52,16,5,72,38
,2019,49,117,61,24,3,97,26
    Rumänien,1997,5,13,18,10,1,15,13
,1998,11,23,22,17,1,19,19
,1999,13,15,29,10,-,14,21
,2000,18,26,34,12,2,13,16
,2001,21,27,38,16,2,19,20
,2002,28,45,40,17,1,19,18
,2003,39,66,62,20,4,23,34
,2004,36,106,77,20,1,26,36
,2005,74,125,148,31,4,29,44
,2006,86,137,135,36,4,36,47
,2007,133,159,172,36,10,40,42
,2008,127,168,162,35,5,58,33
,2009,145,177,142,41,6,55,38
,2010,116,170,159,19,6,62,32
,2011,122,231,136,27,11,66,41
,2012,140,207,157,23,8,84,33
,2013,80,193,132,32,4,100,41
,2014,92,169,164,26,14,95,37
,2015,83,181,115,25,7,105,40
,2016,68,210,53,37,2,173,44
,2017,77,162,58,31,8,148,37
,2018,48,168,64,32,9,142,26
,2019,60,172,57,40,7,151,28
    Schweden,1997,12,22,8,5,3,12,4
,1998,9,29,4,11,1,8,12
,1999,13,30,4,3,1,7,3
,2000,11,32,3,15,3,6,12
,2001,13,19,12,4,6,8,8
,2002,5,21,5,3,3,11,9
,2003,4,19,10,3,2,6,6
,2004,6,23,9,1,3,9,10
,2005,13,29,14,8,2,8,11
,2006,9,23,11,5,3,7,9
,2007,11,23,20,7,3,8,10
,2008,11,22,18,9,4,14,7
,2009,12,16,13,13,2,11,7
,2010,4,22,20,9,3,13,14
,2011,17,22,18,5,2,12,8
,2012,8,28,19,6,3,14,8
,2013,9,21,17,14,3,10,15
,2014,9,32,19,10,2,12,12
,2015,12,34,16,9,4,13,12
,2016,12,38,12,19,4,15,19
,2017,8,49,18,18,5,20,26
,2018,16,48,12,20,2,13,20
,2019,13,51,16,14,4,18,20
    Slowakei,1997,2,4,2,1,-,5,1
,1998,4,5,1,1,1,5,3
,1999,9,6,2,4,1,4,4
,2000,7,10,3,2,-,2,3
,2001,10,14,3,4,2,2,4
,2002,12,22,7,-,-,8,2
,2003,17,39,8,-,4,11,8
,2004,21,50,11,3,3,7,17
,2005,35,67,28,4,1,8,14
,2006,47,60,17,3,9,15,10
,2007,48,83,22,6,2,21,9
,2008,65,96,30,10,2,14,13
,2009,48,65,18,13,3,13,16
,2010,55,80,25,8,-,14,10
,2011,56,87,27,10,7,16,16
,2012,24,75,22,11,8,13,6
,2013,35,95,19,8,1,17,11
,2014,37,76,23,14,2,22,7
,2015,28,86,25,15,3,20,4
,2016,17,108,34,11,1,21,7
,2017,24,78,22,17,2,29,9
,2018,23,65,21,18,3,26,11
,2019,20,65,16,13,1,25,15
    Slowenien,1997,2,8,5,1,1,2,4
,1998,8,8,7,2,-,3,2
,1999,7,12,5,-,1,10,4
,2000,2,15,3,3,1,10,9
,2001,11,9,14,2,4,8,5
,2002,9,14,5,6,3,15,8
,2003,18,32,7,4,2,10,10
,2004,8,19,7,4,1,8,8
,2005,15,29,11,6,6,12,8
,2006,15,33,6,4,1,9,13
,2007,8,20,8,5,2,12,11
,2008,12,27,21,7,1,7,8
,2009,11,32,13,3,1,6,13
,2010,16,31,9,7,2,8,11
,2011,12,18,7,4,-,8,10
,2012,8,20,14,3,-,10,12
,2013,8,18,12,4,2,7,12
,2014,12,20,12,1,2,10,12
,2015,9,25,20,3,2,11,17
,2016,6,27,18,5,2,17,17
,2017,11,36,18,8,2,16,20
,2018,14,32,13,3,3,19,13
,2019,11,18,13,7,3,19,19
    Spanien,1997,51,97,26,13,3,41,30
,1998,60,115,43,17,3,44,36
,1999,72,99,35,21,5,52,32
,2000,76,141,22,12,9,57,26
,2001,70,122,43,7,7,80,36
,2002,75,130,50,16,5,58,33
,2003,82,127,43,7,9,79,48
,2004,72,130,56,18,6,85,35
,2005,80,147,67,14,5,73,54
,2006,79,116,81,16,9,80,44
,2007,73,115,99,21,14,101,53
,2008,83,133,85,21,8,97,63
,2009,87,121,77,23,8,85,67
,2010,68,121,70,20,9,92,64
,2011,76,131,90,25,5,83,79
,2012,69,153,96,15,8,124,79
,2013,87,139,76,8,15,120,87
,2014,90,161,119,21,7,154,90
,2015,99,179,123,18,13,203,128
,2016,109,209,155,30,17,231,126
,2017,115,245,165,25,18,249,125
,2018,120,249,182,44,15,251,161
,2019,140,290,190,46,21,269,151
    Tschechien,1997,13,20,8,2,2,17,7
,1998,11,29,9,6,1,9,7
,1999,17,31,6,1,2,21,16
,2000,16,30,13,6,2,7,14
,2001,21,29,10,4,-,15,17
,2002,28,48,16,2,4,18,17
,2003,44,59,17,-,4,21,17
,2004,41,67,18,6,3,15,17
,2005,49,79,27,5,2,21,21
,2006,55,72,35,4,4,29,24
,2007,63,92,33,4,4,17,22
,2008,71,75,32,7,7,39,20
,2009,68,100,19,5,6,16,20
,2010,62,86,22,5,5,27,20
,2011,38,65,31,12,8,24,27
,2012,50,80,30,10,7,22,36
,2013,85,95,26,6,2,28,25
,2014,70,82,28,5,7,32,29
,2015,48,121,33,7,4,27,19
,2016,47,95,19,6,3,52,23
,2017,45,90,29,13,4,56,22
,2018,63,109,27,13,1,63,23
,2019,65,86,19,14,9,59,13
    Ungarn,1997,25,28,13,4,2,13,11
,1998,33,36,16,9,2,8,16
,1999,31,39,15,8,2,17,21
,2000,41,51,26,7,4,11,24
,2001,48,46,20,3,3,20,28
,2002,66,74,17,12,5,28,34
,2003,72,75,19,6,4,29,32
,2004,80,100,30,10,9,25,32
,2005,94,115,52,10,6,28,27
,2006,94,135,34,6,4,26,45
,2007,73,111,43,16,5,42,41
,2008,58,130,32,13,6,24,29
,2009,75,120,39,8,3,23,53
,2010,55,93,27,8,5,27,34
,2011,49,109,33,15,7,31,46
,2012,49,102,42,15,-,39,35
,2013,46,90,32,9,3,33,46
,2014,61,106,32,10,9,32,44
,2015,56,104,51,19,9,66,54
,2016,32,132,37,19,10,66,41
,2017,37,137,33,14,3,66,48
,2018,59,141,31,18,10,78,43
,2019,36,128,42,25,8,87,37
    Vereinigtes Königreich,1997,41,68,15,7,2,17,18
,1998,30,60,11,5,1,26,24
,1999,29,63,29,5,4,17,22
,2000,40,69,12,10,4,21,16
,2001,49,57,20,9,2,22,11
,2002,24,53,15,10,3,15,16
,2003,30,46,26,9,-,24,13
,2004,26,44,23,11,5,19,15
,2005,46,66,28,13,6,13,20
,2006,32,41,26,12,4,19,20
,2007,35,70,28,20,2,14,26
,2008,34,41,35,12,2,21,28
,2009,46,67,36,9,1,23,12
,2010,42,74,41,18,1,29,20
,2011,47,65,30,15,5,30,30
,2012,47,80,47,11,8,31,33
,2013,60,110,52,10,6,39,25
,2014,76,106,53,21,4,39,29
,2015,78,127,58,21,11,45,44
,2016,53,125,62,15,4,51,29
,2017,76,151,65,15,8,69,38
,2018,68,145,65,17,11,58,47
,2019,93,145,72,22,15,100,36
    Zypern,1997,5,1,3,5,-,5,1
,1998,3,7,1,2,-,3,1
,1999,8,2,-,4,1,2,2
,2000,4,2,-,4,-,-,1
,2001,3,2,1,5,-,1,2
,2002,7,3,3,-,-,1,3
,2003,1,2,2,4,1,1,3
,2004,6,2,1,4,-,5,4
,2005,3,4,3,4,-,3,4
,2006,4,7,2,6,-,1,3
,2007,3,4,3,6,1,2,1
,2008,9,5,1,11,-,2,4
,2009,z,z,z,z,z,z,z
,2010,z,z,z,z,z,z,z
,2011,z,z,z,z,z,z,z
,2012,9,4,4,7,2,2,1
,2013,z,z,z,z,z,z,z
,2014,6,4,9,16,3,5,1
,2015,7,3,10,18,3,6,5
,2016,4,5,8,12,1,6,2
,2017,7,7,4,22,1,9,4
,2018,z,z,z,z,z,z,z
,2019,2,10,12,28,2,11,6
  Nicht-EU-Staaten 4),1997,400,731,315,207,36,659,245
,1998,426,996,339,206,47,693,282
,1999,550,1066,404,277,70,781,341
,2000,613,1376,483,375,70,847,368
,2001,713,1601,572,408,68,969,427
,2002,861,1905,637,456,81,1051,432
,2003,991,2250,796,452,99,1157,552
,2004,1143,2680,1076,452,120,1183,608
,2005,913,2386,1160,449,94,1190,472
,2006,1056,2540,1346,431,90,1270,534
,2007,1008,2390,1049,407,80,1227,372
,2008,1279,2469,1194,399,82,1138,445
,2009,1334,2835,1235,369,86,1251,465
,2010,1499,2951,1348,290,104,1352,433
,2011,1539,3248,1422,314,143,1641,449
,2012,1727,3457,1505,316,119,1792,552
,2013,1726,3487,1599,288,121,1955,516
,2014,1719,3284,1531,299,114,2020,481
,2015,1699,3502,1657,294,129,2075,493
,2016,1235,4052,926,356,117,3007,488
,2017,1332,4095,1003,320,152,3192,562
,2018,1238,4093,990,403,125,3215,555
,2019,1354,4130,1050,405,134,3599,589
    Bosnien-Herzegowina,1997,2,1,-,2,-,10,2
,1998,5,5,1,3,1,22,1
,1999,4,9,4,8,2,30,3
,2000,10,15,9,10,-,34,4
,2001,6,29,19,14,3,47,2
,2002,21,30,24,13,3,55,4
,2003,27,51,24,17,5,55,2
,2004,21,65,34,19,-,57,6
,2005,30,93,34,12,5,58,8
,2006,44,97,37,15,1,53,6
,2007,34,110,50,19,7,61,8
,2008,52,108,47,12,1,61,3
,2009,61,119,33,14,4,65,7
,2010,67,130,52,12,-,95,9
,2011,52,141,51,12,2,94,11
,2012,75,146,62,13,2,102,10
,2013,74,146,64,13,5,98,9
,2014,69,168,38,12,3,114,7
,2015,74,168,38,11,5,114,7
,2016,46,191,31,19,5,145,13
,2017,44,169,40,17,3,123,12
,2018,41,172,41,24,6,129,8
,2019,54,168,34,22,2,144,9
    Island,1997,5,3,2,-,1,14,4
,1998,6,5,1,1,3,10,4
,1999,7,4,4,2,2,6,6
,2000,3,12,3,-,5,9,8
,2001,2,5,3,3,2,4,6
,2002,5,2,2,1,1,5,5
,2003,2,4,1,2,1,7,4
,2004,3,1,1,2,-,9,2
,2005,1,4,4,-,1,9,2
